STATUS OF ELECTRONIC INTERLOCKING	,,,,,,,,,,06-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S No,SSE SEC,Station/Section,Station / Auto Section,SECTION,Route,Make,No. of Routes,State,Date of Installation,FY,Centralised / Distributed,No of OCs,"RDSO
Typical Circuit",Power cable redundancy available between IPS room and EI room,T.D.C for Redundant Power Cable Provision ,"Dual VDU/Panel+
 VDU/Panel+
 VDU Wkg","VDU 1
Make & Model","VDU 1
Date of Manufacture","VDU 1
Date of last replacement ","VDU 2
Make & Model","VDU 2
Date of Manufacture","VDU 2
Date of last replacement ","Embeded PC 1
 Make & Model","Embeded PC 1
Date of Manufacture ","Embeded PC 1
Date of last replacement ","Embeded PC 2
 Make & Model","Embeded PC 2
Date of Manufacture ","Embeded PC 2
Date of last replacement ",Power supply to VDU 1,Power supply to VDU 2,"Temporory Files Deletion
Status",HOT STAND BY /WARM STAND BY,EI Version,Latest Upgrade,Upgraded / Not Upgraded,Up Graded Date,MT AVAILABLE INSIDE / OUTSIDE RELAY ROOM,Warranty / AMC,"Period of WARR/ AMC
From","Period of WARR/ AMC
To",AC PROVIDED / NOT PROVIDED,BATTERY CHARGER CONVENTIONAL/ RIPPLE FREE,Emergency Route Release counter,Register Availability,S&T KEY For EMRC avaailable with,Codal Life,"Availability of Managed Network Switch 
(PFC)",Availability of flashing/Steady indication of Communication link on VDU,Availability of System A/B (Channel A/B) failure indication on VDU,Last Date of AMC,"AMC Time
From","AMC Time
To",Work done During AMC,Deficiency noted during AMC,Spare Card Available Details,Spare Cards Last Tested Date,Availablity of Emergency Panel,Date of Provision of Emergency Panel,Status of Emergency Panel working, 
11,TVT,TVT,Station,MAS-GDR,A,KYOSAN,131,TN,27-03-17,2016-17,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,27-06-25,26-06-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SEAL PROVIDED,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
12,TVT,ENR,Station,MAS-GDR,A,MEDHA,129,TN,21-11-13,2013-14,Centralised,NA,NO,NO,10-02-2025,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MEI 633,,Upgraded,05-01-26,OUTSIDE,Due for AMC,12-04-22,11-04-24,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SEAL PROVIDED,10-15 years,NO,NO,YES,,,,,,,,NO,,NA,
13,TVT,AIPP,Station,MAS-GDR,A,KYOSAN,84,TN,22-11-20,2020-21,Distributed,2,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,27-01-22,26-01-27,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SEAL PROVIDED,1-5 years,NO,YES,YES,,,,,,,,NO,,NA,
14,TVT,AIP,Station,MAS-GDR,A,KYOSAN,59,TN,28-11-20,2020-21,Distributed,1,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,27-01-22,26-01-27,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SEAL PROVIDED,1-5 years,NO,YES,YES,,,,,,,,NO,,NA,
15,GPD,MJR,Station,MAS-GDR,A,MEDHA,29,TN,28-03-24,2023-24,Centralised,NA,YES,YES,,DUAL VDU,,,28-03-24,,,28-03-24,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MEI 634,,,,OUTSIDE,Due for AMC,28-03-24,27-03-25,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,,NO,YES,,,,,,,,YES,28-03-24,Working,
16,GPD,PON,Station,MAS-GDR,A,MEDHA,50,TN,08-09-25,2025-26,Distributed,1,YES,YES,,DUAL VDU,,,08-09-25,,,08-09-25,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MEI 634,,,,OUTSIDE,WARRANTY,08-09-25,7-9-26,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,<1 year,NO,NO,YES,,,,,,,,NO,,NA,
17,GPD,KVP,Station,MAS-GDR,A,MEDHA,26,TN,20-12-24,2024-25,Centralised,NA,YES,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MEI 634,,,,OUTSIDE,WARRANTY,20-12-24,19-12-25,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,,,,,,,,,,,NO,,NA,
18,SPE,AKM,Station,MAS-GDR,A,HITACHI,22,TN,19-03-22,2021-22,Centralised,NA,NO,YES,,DUAL VDU,"LG, 55UH5F",,,"LG, 55UH5F",,,"ADVANTECH, ITA-3650",,,"ADVANTECH, ITA-3650",,,BX110/IPS,B110/IPS,MANUUAL DELETION DONE,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,08-02-24,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,YES,NO,YES,26/11/2025,,,,,,,YES,19-03-22,Working,
19,SPE,TADA,Station,MAS-GDR,A,HITACHI,28,AP,12-03-22,2021-22,Centralised,NA,NO,YES,,DUAL VDU,"LG, 55UM5N-H",,13-10-25,"LG, 55UH5F",,,"ADVANTECH, ITA-3650",,,"ADVANTECH, ITA-3650",,,BX110/IPS,B110/IPS,MANUUAL DELETION DONE,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,08-02-24,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,YES,NO,YES,25/11/2025,,,,,,,YES,12-03-22,Working,
20,SPE,SPE,Station,MAS-GDR,A,HITACHI,37,AP,29-06-23,2023-24,Centralised,NA,YES,YES,,DUAL VDU,"LG, 55UH5F",,29-06-23,"LG, 55UH5F",,,"ADVANTECH, ITA-3650",,,"ADVANTECH, ITA-3650",,,BX110/IPS,B110/IPS,MANUUAL DELETION DONE,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,09-02-24,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,YES,NO,YES,18/11/2025,,,,,,,YES,29-06-23,Working,
21,SPE,PEL,Station,MAS-GDR,A,HITACHI,22,AP,24-07-25,2025-26,Centralised,NA,YES,YES,,DUAL VDU,"SAMSUNG, LH55QMCEBGCLXL",,,"SAMSUNG, LH55QMCEBGCLXL",,,"ADVANTECH, ITA-3650",,,"ADVANTECH, ITA-3650",,,,,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,24-07-25,OUTSIDE,WARRANTY,24-07-25,23-07-26,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,<1 year,NO,YES,YES,,,,,,,,YES,24-07-25,Working,
22,NYP,DVR,Station,MAS-GDR,A,HITACHI,38,AP,28-10-23,2023-24,Centralised,NA,YES,YES,,DUAL VDU,,,28-10-23,,,28-10-23,,,,,,,BX110/IPS,B110/IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,30-01-24,INSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SM,1-5 years,,YES,YES,,,,,,,,YES,28-10-23,Working,
23,NYP,NYP,Station,MAS-GDR,A,HITACHI,39,AP,29-03-25,2024-25,Centralised,NA,YES,YES,31-03-2025,DUAL VDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BX110/IPS,B110/IPS,,HOT STAND BY,MLK-II,,Upgraded,,INSIDE,WARRANTY,29-03-25,28-03-26,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SM,<1 year,,YES,YES,,,,,,,,YES,29-03-25,Working,
24,NYP,PYA,Station,MAS-GDR,A,HITACHI,28,AP,19-07-22,2022-23,Centralised,NA,YES,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,B110/IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,03-02-24,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SM,1-5 years,,YES,YES,,,,,,,,YES,19-07-22,Working,
25,NYP,ODUR,Station,MAS-GDR,A,HITACHI,22,AP,26-11-22,2022-23,Centralised,NA,YES,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,B110/IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,30-01-24,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SM,1-5 years,YES,YES,YES,,,,,,,,YES,26-11-22,Working,
26,TRL,AVD,Station,MAS-AJJ,B,HITACHI,96,TN,31-03-15,2014-15,Centralised,NA,NO,YES,,DUAL VDU (09.06.23),"LG
55UH5F ",01-10-21,,"LG
55UH5F ",01-10-21,,"LG
43SM5KE",,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MLK-II,"MLK-II, HOT S/BY
ECB/SYNC
Ver 7.70",Upgraded,30-03-23,OUTSIDE,AMC,28-04-25,27-04-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,5-10 years,,NO,NO,,,,,,,,NO,,NA,
27,TRL,PAB,Station,MAS-AJJ,B,SIEMENS,65,TN,23-12-18,2018-19,Centralised,NA,NO,YES,,DUAL VDU,"LG 49""",,,"LG 49""",,,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,MK2,"MK-II
PM 1/3 TO 3/3",Mark-II,12-03-24,OUTSIDE,AMC,28-01-25,27-01-28,NOT PROVIDED,CONVENTIONAL,PROVIDED,PROVIDED,ESM,5-10 years,,YES,YES,,,,,,,,NO,,NA,
28,TRL,TI,Station,MAS-AJJ,B,SIEMENS,80,TN,23-11-25,2025-26,Distributed,1,YES,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,MK2,"MK-II
PM 1/3 TO 3/3",Mark-II,23-11-25,OUTSIDE,WARRANTY,23-11-25,22-11-26,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,<1 year,,YES,YES,,,,,,,,NO,,NA,
29,TRL,PTMS,Station,MAS-AJJ,D,SIEMENS,25,TN,29-06-19,2019-20,Centralised,NA,NO,YES,,DUAL VDU,"Samsung 50"" ",,,"LG43""",,,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,MK2,"MK-II
PM 1/3 TO 3/3",Mark-II,12-09-23,OUTSIDE,AMC,28-01-25,27-01-28,PROVIDED,"IPS SUPPLY
OC Ripple Free",PROVIDED,PROVIDED,ESM,5-10 years,,YES,YES,,,,,,,,NO,,NA,
30,TRL,TRL,Station,MAS-AJJ,B,MEDHA,157,TN,03-07-16,2016-17,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MEI 633,,Not Upgraded,,OUTSIDE,Due for AMC,12-04-22,11-04-25,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,5-10 years,,NO,YES,,,,,,,,NO,,NA,
31,AJJ.E,KBT,Station,MAS-AJJ,B,MEDHA,66,TN,14-07-12,2012-13,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,MEI 633,,Not Upgraded,,OUTSIDE,Due for AMC,12-04-22,11-04-25,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SM,10-15 years,,YES,YES,,,,,,,,NO,,NA,
32,AJJ.E,TO,Station,MAS-AJJ,B,MEDHA,108,TN,14-07-12,2012-13,Centralised,10,NO,YES,,DUAL VDU,"SAMSUNG 55""",01-02-22,23-10-25,"LG 55""",01/07/2017,27/05/2024,MEDHA 64B21B,NA,27-05-24,MEDHA 64B22B,NaA,27/12/2022,BX110/IPS,BX110/IPS,MANUUAL DELETION DONE,HOT STAND BY,MEI 633,,Upgraded,02-01-26,OUTSIDE,Due for AMC,12-04-22,11-04-25,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,10-15 years,NO,YES,YES,25/06/2025,01:25:00,02:00:00,System change over and fault event checked,Nil,33nos,10/12/2024,NO,,NA,
33,AJJ.E,AJJ,Station,MAS-AJJ,B,KYOSAN,312,TN,06-05-18,2018-19,Centralised,NA,NO,YES,,DUAL VDU,,,,,,,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,5-10 years,NO,NO,NO,,,,,,,,NO,,NA,
34,AJJ.W,MLPM,Station,AJJ-JTJ,B,KYOSAN,58,TN,14-04-19,2019-20,Distributed,1,NO,NO,31-03-2025,DUAL VDU,,,,,,,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SM,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
35,AJJ.W,AJJ N,Station,AJJ-RU,B,KYOSAN,12,TN,14-04-19,2019-20,Centralised,NA,NO,NO,31-03-2025,DUAL VDU,,,,,,,,,,,,,BX110/IPS,BX110/IPS,,HOT STAND BY,K5BMC,,Upgraded,,INSIDE,AMC,08-07-25,07-07-28,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,SM,5-10 years,NO,YES,YES,,,,,,,,NO,,NA,
36,TRT,TRT,Station,AJJ-RU,B,HITACHI,36,TN,13-11-25,2025-26,Centralised,NA,YES,YES,,DUAL VDU,,,,NA,NA,NA,,,,,,,BX110/IPS,NA,,HOT STAND BY,MLK-II,,Upgraded,,INSIDE,AMC,28-05-25,27-11-25,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,<1 year,,YES,YES,,,,,,,,NO,,NA,
37,TRT,POI,Station,AJJ-RU,B,HITACHI,34,TN,09-02-25,2024-25,Centralised,NA,YES,YES,,DUAL VDU,,,,NA,NA,NA,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,MLK-II,,Upgraded,,OUTSIDE,WARRANTY,09-02-25,08-02-26,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,<1 year,,YES,YES,,,,,,,,YES,09-02-25,Working,
38,TRT,NG,Station,AJJ-RU,B,HITACHI,24,AP,17-06-06,2006-07,Centralised,NA,NO,YES,,Panel+VDU Not working,,,,NA,NA,NA,,,,,,,NA,NA,,WARM STAND BY,MLK-II,,Not Upgraded,,INSIDE,Due for AMC,19-10-20,18-10-23,NOT PROVIDED,IPS SUPPLY,EMRC Not Available,NOT PROVIDED,N/A,15-20 years,,NO,NO,,,,,,,,NO,,NA,
39,TRT,VGA,Station,AJJ-RU,B,MEDHA,32,AP,09-02-25,2024-25,Centralised,NA,YES,YES,,DUAL VDU,,,,NA,NA,NA,,,,,,,BX110/IPS,230/AT With UPS,,HOT STAND BY,MEI 633,09-02-25,Upgraded,,OUTSIDE,WARRANTY,09-02-25,08-02-26,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,<1 year,,YES,YES,,,,,,,,NO,,NA,
40,TRT,PUT,Station,AJJ-RU,B,HITACHI,24,AP,29-12-05,2005-06,Centralised,NA,NO,YES,26-11-2025,Panel+VDU working,YES,,,NA,NA,NA,,,,,,,230/AT With UPS,NA,,WARM STAND BY,MLK-II,,Not Upgraded,25-11-25,INSIDE,AMC,28-05-25,27-11-25,PROVIDED,IPS SUPPLY,EMRC Not Available,NOT PROVIDED,N/A,15-20 years,,NO,YES,,,,,,,,NO,,NA,
41,TRT,TDK,Station,AJJ-RU,B,MEDHA,26,AP,15-06-25,2025-26,Centralised,NA,YES,YES,,DUAL VDU,,,,NA,NA,NA,,,,,,,230/AT With UPS,NA,,HOT STAND BY,MEI 633,15-06-25,Upgraded,15-06-25,INSIDE,AMC,28-05-25,27-07-25,NOT PROVIDED,IPS SUPPLY,EMRC Not Available,NOT PROVIDED,N/A,<1 year,,YES,YES,,,,,,,,NO,,NA,
42,TRT,PUDI,Station,AJJ-RU,B,MEDHA,35,AP,10-05-24,2024-25,Centralised,NA,YES,YES,,DUAL VDU,,,10-05-24,,,10-05-24,,,10-05-24,,,10-05-24,B110/IPS,B110/IPS,,HOT STAND BY,MEI 633,10-05-24,Upgraded,,INSIDE,Due for AMC,10-05-24,09-05-25,NOT PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,,YES,YES,,,,,,,,NO,,NA,
43,TRT,SVF,Station,AJJ-RU,B,MEDHA,11,AP,21-03-24,2023-24,Centralised,NA,YES,YES,,DUAL VDU,"SAMSUNG 55inch,LH55QMBEBGCLXL",01-08-23,21-03-24,"SAMSUNG 55inch,LH55QMBEBGCLXL",01-08-23,21-03-24,MEDHA V2714,01-09-23,21-03-24,MEDHA 2715,01-09-23,21-03-24,BX110/IPS,BX110/IPS,,HOT STAND BY,MEI 633,21-03-24,Upgraded,,OUTSIDE,Due for AMC,21-03-24,21-03-25,PROVIDED,IPS SUPPLY ,PROVIDED,PROVIDED,RDSO STD,1-5 years,,YES,YES,,,,,,,,NO,,NA,
44,KPD.E,TUG,Station,AJJ-JTJ,B,KYOSAN,22,TN,30-03-22,2021-22,Centralised,NA,YES,YES,,DUAL VDU,LG   55 UH5C,29-02-20,,SAMSUNG - LH55QMCEBGCLXL,31/07/2025,03/09/2025,,,,,,,BX110 (IPS),BX110 (GALLANT INVERTER),AUTO DELETE ENABLED,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,NO,YES,YES,17/11/2025,09:30:00,13:35:00,"1. System 1 & 2 Change over done.
2. Emergency Route Release Cancellation checked.
3. VDU Change Over done.
4. Kyosan Rack 1 & 2 all parameters checked.
5. Kyosan Rack 1& 2 Cleaned.
6. VDU A & B Parameters Checked.
7. Both VDU Change Over checked.
8. MTC Parameters Checked.
9. Clock synchronisation done.",MTC System hanging,Spare Card Available in MTC ROOM.,21/02/2023,YES,30-03-22,Working,
45,KPD.E,WJR,Station,AJJ-JTJ,B,KYOSAN,70,TN,05-02-22,2021-22,Centralised,NA,NO,YES,05-12-2022,DUAL VDU,LG & 49UH5C,10-05-19,,Samsung & LH55QMCEBGCLXL,02/04/2025,03/09/2025,"C&T ,ACO-6033C-2L-M12",,,"C&T,ACO-6033C-2L-M12",,,BX110 IPS,B 110 GALLANT,AUTO DELETE ENABLED,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,ESM,1-5 years,NO,YES,YES,16/11/2025,10:22:00,15:26:00,"Check & measure the power supply,visual inspection,spare materials check,",Nil,"IPU-6C,F486-4I,FSIO2,FSIO2-Ex,FIO7[P],EXT FIO7[P],PIO2-LOG,DID,WDT relay 
LINE-2B not available 
MOXA not available",16/09/2025,YES,05-02-22,Working,
46,KPD.E,MCN,Station,AJJ-JTJ,B,KYOSAN,38,TN,29-03-23,2022-23,Centralised,NA,YES,YES,29-03-2023,DUAL VDU,Made in india samsung & LH55QMCEBGCLXL,05-12-24,,Made in korea (LG) & 55UH5C,07/01/2020,,"C&T , ACO 6033C-2L-M12",,,"C&T ,ACO-6033C-2L-M12",,,BX110 IPS,B110 GALLANT ,,HOT STAND BY,K5BMC,,Upgraded,,INSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,NO,YES,YES,18/11/2025,10:26:00,14:20:00,"Check measure power supply,Visual inspection & spare meterials check",Nil,"IPU6C,F486-4I,FSIO2,FSIO2-Ex,FIO7[P],PIO2-LOG,DID,
LINE-2B not available 
MOXA not available",18/10/2025,YES,29-03-23,Working,
47,KPD.E,THL,Station,AJJ-JTJ,B,KYOSAN,34,TN,29-11-23,2023-24,Centralised,NA,YES,YES,,DUAL VDU,LG 55UH5J,01-10-23,29-11-23,,,29-11-23,C & T,,,,,,BX110 IPS,B110 GALLANT ,,HOT STAND BY,K5BMC,,Upgraded,,OUTSIDE,AMC,08-07-25,07-07-28,PROVIDED,IPS SUPPLY,PROVIDED,PROVIDED,RDSO STD,1-5 years,NO,YES,YES,,,,,,,,YES,29-11-23,Working,
